"Tendencias","Volumen de búsquedas","Inició","Finalizada","Desglose de tendencias","Vínculo para explorar"
"u. de chile - coquimbo unido","200 k+","2 de diciembre de 2025 a las 5:10:00 p.m. UTC-3","4 de diciembre de 2025 a las 7:50:00 a.m. UTC-3","u. de chile - coquimbo unido,u de chile coquimbo,u de chile vs,u de chile,universidad de chile vs,coquimbo vs u de chile,u de chile vs coquimbo,coquimbo vs,u vs coquimbo,udechile,universidad de chile vs coquimbo unido,partido u de chile,universidad de chile vs coquimbo,la u vs,u vs,partidos de u. de chile,la u vs coquimbo,partido de la u,u de chile hoy,coquimbo unido vs u de chile,partido u de chile hoy,radio cooperativa online,resultado u de chile,udechile vs,universidad de chile hoy,punto ticket,coquimbo unido vs,universidad de chile coquimbo,a qué hora juega universidad de chile,partido u de chile hoy en vivo,puntoticket","https://trends.google.com/trends/explore?q=u.%20de%20chile%20-%20coquimbo%20unido&geo=CL&hl=es-419"
"concepción - cobreloa","100 k+","3 de diciembre de 2025 a las 7:20:00 p.m. UTC-3","4 de diciembre de 2025 a las 9:20:00 p.m. UTC-3","concepción - cobreloa,concepcion vs cobreloa,cobreloa vs concepción,deportes concepcion,deportes concepcion vs cobreloa,cobreloa,cobreloa vs,deportes concepcion vs,concepcion vs,deportes concepción vs cobreloa,concepción vs. cobreloa,conce vs cobreloa,deportes concepción,concepción vs cobreloa,primera b,u de conce vs cobreloa,partido deportes concepción,conce vs,primera b de chile,deportes conce,liguilla de ascenso,cobreloa hoy,deporte concepción,concepcion,tnt sports,concepcion cobreloa,ascenso chile,deportes concepción contra cobreloa,tnt sports en vivo,cobreloa vs deportes concepcion,patricio almendra,deportes conce vs,concepción vs,concepción,cobreloa vs concepcion,cobreloa concepcion","https://trends.google.com/trends/explore?q=concepci%C3%B3n%20-%20cobreloa&geo=CL&hl=es-419"
"barcelona - atlético madrid","100 k+","2 de diciembre de 2025 a las 4:00:00 p.m. UTC-3","3 de diciembre de 2025 a las 7:30:00 p.m. UTC-3","barcelona - atlético madrid,barcelona vs atletico de madrid,barcelona vs,barcelona,barcelona vs. atlético madrid,barca vs,barcelona vs atlético madrid,barcelona hoy,barca,barca vs atletico,dónde mirar fc barcelona contra atlético de madrid,primera división,laliga,atletico,madrid vs,atletico de madrid,donde ver barcelona vs atletico de madrid,fc barcelona vs atletico de madrid,barcelona vs atletico de madrid donde ver","https://trends.google.com/trends/explore?q=barcelona%20-%20atl%C3%A9tico%20madrid&geo=CL&hl=es-419"
"palmeiras - flamengo","100 k+","29 de noviembre de 2025 a las 5:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 11:40:00 a.m. UTC-3","palmeiras - flamengo,final copa libertadores 2025,flamengo vs palmeiras,libertadores,palmeiras vs flamengo,flamengo vs,final libertadores,palmeiras,palmeiras vs,final libertadores 2025,final copa libertadores,conmebol libertadores,copa libertadores 2025,palmeiras vs. flamengo,libertadores 2025,final de la libertadores,danilo,final de libertadores 2025,flamengo palmeiras,donde se juega la final de la libertadores 2025,campeones copa libertadores,vitor roque,felipe luis,palmeiras flamengo,final copa libertadores 2025 donde ver,donde ver la final de la libertadores,filipe luis,final de libertadores,mengao,alineaciones de palmeiras contra flamengo,donde ver final libertadores,estadio final libertadores 2025","https://trends.google.com/trends/explore?q=palmeiras%20-%20flamengo&geo=CL&hl=es-419"
"u. española - o'higgins","100 k+","30 de noviembre de 2025 a las 5:10:00 p.m. UTC-3","1 de diciembre de 2025 a las 11:50:00 a.m. UTC-3","u. española - o'higgins,union española,union española vs,primera b,primera b de chile,tabla de posiciones chile,ohiggins,campeonato nacional,unión española,liga de primera,u española,o'higgins vs,u española vs,union española vs o higgins,futbol chileno,union vs,primera a,u. española vs. o'higgins,unión española vs,primera,union,posiciones de unión española,union española descenso,union vs o higgins,española vs,tnt sports","https://trends.google.com/trends/explore?q=u.%20espa%C3%B1ola%20-%20o%27higgins&geo=CL&hl=es-419"
"spotify wrapped","50 k+","30 de noviembre de 2025 a las 9:30:00 p.m. UTC-3","4 de diciembre de 2025 a las 8:10:00 p.m. UTC-3","spotify wrapped,spotify wrapped 2025,wrapped spotify 2025,spotify,wrapped,bad bunny,spotify wraped,wrapped spotify,spotify wrapped 2024","https://trends.google.com/trends/explore?q=spotify%20wrapped&geo=CL&hl=es-419"
"athletic - real madrid","50 k+","3 de diciembre de 2025 a las 2:00:00 p.m. UTC-3","4 de diciembre de 2025 a las 3:30:00 p.m. UTC-3","athletic - real madrid,real madrid,real madrid vs,madrid vs,athletic vs. real madrid,real madrid club de fútbol,athletic club vs real madrid,ath. bilbao – real madrid,real madrid hoy,real madrid vs athletic","https://trends.google.com/trends/explore?q=athletic%20-%20real%20madrid&geo=CL&hl=es-419"
"audax italiano - ñublense","50 k+","1 de diciembre de 2025 a las 7:20:00 p.m. UTC-3","2 de diciembre de 2025 a las 6:20:00 p.m. UTC-3","audax italiano - ñublense,audax vs,audax,audax italiano,audax vs ñublense,ñublense,ñublense vs,audax italiano vs,audax italiano la florida,audax italiano vs. ñublense,ñublense vs audax italiano,eduardo vargas","https://trends.google.com/trends/explore?q=audax%20italiano%20-%20%C3%B1ublense&geo=CL&hl=es-419"
"girona - real madrid","50 k+","30 de noviembre de 2025 a las 4:10:00 p.m. UTC-3","1 de diciembre de 2025 a las 5:10:00 p.m. UTC-3","girona - real madrid,real madrid vs,girona,girona – real madrid,real madrid hoy,girona vs,liga española,dónde mirar girona futbol club contra real madrid,posiciones de girona futbol club contra real madrid,madrid","https://trends.google.com/trends/explore?q=girona%20-%20real%20madrid&geo=CL&hl=es-419"
"barcelona - alavés","50 k+","29 de noviembre de 2025 a las 11:20:00 a.m. UTC-3","30 de noviembre de 2025 a las 1:20:00 p.m. UTC-3","barcelona - alavés,barcelona vs,barcelona,barcelona vs. alavés,barca vs,barca,barcelona vs alavés,barcelona vs alaves,barcelona fc","https://trends.google.com/trends/explore?q=barcelona%20-%20alav%C3%A9s&geo=CL&hl=es-419"
"sevilla - real betis","50 k+","30 de noviembre de 2025 a las 11:20:00 a.m. UTC-3","1 de diciembre de 2025 a las 8:10:00 a.m. UTC-3","sevilla - real betis,sevilla vs betis,sevilla vs,sevilla,betis vs sevilla,sevilla fc,sevilla vs. real betis,betis,sevilla betis,sevilla vs real betis,betis vs,real betis,real vs,alexis sánchez,betis sevilla,gabriel suazo","https://trends.google.com/trends/explore?q=sevilla%20-%20real%20betis&geo=CL&hl=es-419"
"computo teleton 2025","50 k+","29 de noviembre de 2025 a las 12:50:00 a.m. UTC-3","30 de noviembre de 2025 a las 3:30:00 p.m. UTC-3","computo teleton 2025,meta teleton,la teletón,computo teleton,cuanto lleva la teleton 2025,teleton computo,teleton meta,banco de chile,cierre teleton 2025,monto teleton 2025,artistas teleton 2025,teleton en vivo 2025,meta teletón 2025,meta teletón,teletón en vivo,cual es la meta de la teleton 2025,banco chile,banco chile teleton,ultimo computo teleton 2025,teleton llego a la meta 2025,teleton estadio nacional,teleton 2025 meta,se llego a la meta teleton 2025,meta teleton 2025,artistas cierre teleton 2025,teleton 2025 computo,artistas teleton 2025 estadio nacional,la teleton llego a su meta 2025,vedeton,donar teleton,parrilla teleton 2025,resultado teleton 2025,donar teleton 2025,llegaron a la meta teleton 2025,meta de la teleton 2025,la teleton 2025,se logro la meta teleton 2025,cuanto recaudo la teleton 2025,como va la teleton,artistas teatro teleton 2025,estadio nacional,teleton meta 2025,teletón 2025 estadio nacional,meta teleton 2024,quien cierra la teleton 2025,cierre teleton 2025 artistas,bloque infantil teleton 2025,computo final teleton 2025,teleton computo 2025,que artistas estaran en la teleton 2025,cantantes teleton 2025,jose antonio neme,en que año la teleton no llego a la meta,cuanto es la meta de la teleton 2025,teletón 2025 artistas,teleton artistas,julio martinez,plim plim,myriam hernández,neme,show teleton 2025,quien estara en el cierre de la teleton 2025,hasta que hora es la teleton 2025,cierre teleton,estadio nacional teleton,como va la teleton 2025,cuanto lleva la teleton,teleton 2025 artistas,quien estara en la teleton 2025,entradas teletón 2025,quien va a estar en la teleton 2025,artistas teletón 2025 estadio nacional,llego a la meta la teleton","https://trends.google.com/trends/explore?q=computo%20teleton%202025&geo=CL&hl=es-419"
